,company_name,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year,raised_amount_usd,founded_at
4286,Twist Bioscience,Biotechnology,USA,CA,SF Bay Area,San Francisco,venture,A,2014-02-10,2014-02, 2014-Q1 ,2014.0,9110714,2013-01-01
4287,Twist Bioscience,Biotechnology,USA,CA,SF Bay Area,San Francisco,venture,B,2014-05-27,2014-05, 2014-Q2 ,2014.0,26000000,2013-01-01
4288,Twitch,Video Games,USA,CA,SF Bay Area,San Francisco,venture,B,2012-09-19,2012-09, 2012-Q3 ,2012.0,15000000,2007-01-01
4289,Twitch,Video Games,USA,CA,SF Bay Area,San Francisco,venture,C,2013-09-30,2013-09, 2013-Q3 ,2013.0,20000000,2007-01-01
4290,Tynt,Messaging,USA,UT,Salt Lake City,Salt Lake City,venture,A,2009-03-02,2009-03, 2009-Q1 ,2009.0,3900000,2007-01-01
4291,Tynt,Messaging,USA,UT,Salt Lake City,Salt Lake City,venture,B,2010-04-16,2010-04, 2010-Q2 ,2010.0,8000000,2007-01-01
4292,Typesafe,Software,USA,CA,SF Bay Area,San Francisco,venture,A,2011-05-12,2011-05, 2011-Q2 ,2011.0,3000000,2011-01-01
4293,Typesafe,Software,USA,CA,SF Bay Area,San Francisco,venture,B,2012-08-22,2012-08, 2012-Q3 ,2012.0,14000000,2011-01-01
4294,UGE,Clean Technology,USA,NY,New York City,New York,seed/angel,0,2013-09-11,2013-09, 2013-Q3 ,2013.0,1089000,2008-01-14
4295,UGE,Clean Technology,USA,NY,New York City,New York,venture,A,2014-04-15,2014-04, 2014-Q2 ,2014.0,5000000,2008-01-14
4296,URX,Mobile,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2013-09-01,2013-09, 2013-Q3 ,2013.0,3100000,2013-02-01
4297,URX,Mobile,USA,CA,SF Bay Area,San Francisco,venture,A,2014-04-28,2014-04, 2014-Q2 ,2014.0,12000000,2013-02-01
4298,Uber,Transportation,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2009-08-01,2009-08, 2009-Q3 ,2009.0,200000,2009-03-01
4299,Uber,Transportation,USA,CA,SF Bay Area,San Francisco,venture,A,2011-02-14,2011-02, 2011-Q1 ,2011.0,11000000,2009-03-01
4300,Uber,Transportation,USA,CA,SF Bay Area,San Francisco,venture,B,2011-12-07,2011-12, 2011-Q4 ,2011.0,37000000,2009-03-01
4301,Uber,Transportation,USA,CA,SF Bay Area,San Francisco,venture,C,2013-08-23,2013-08, 2013-Q3 ,2013.0,258000000,2009-03-01
4302,Uber,Transportation,USA,CA,SF Bay Area,San Francisco,venture,D,2014-06-06,2014-06, 2014-Q2 ,2014.0,1200000000,2009-03-01
4303,UberMedia,Ad Targeting,USA,CA,Los Angeles,Pasadena,venture,A,2010-04-11,2010-04, 2010-Q2 ,2010.0,3500000,2010-03-01
4304,UberMedia,Ad Targeting,USA,CA,Los Angeles,Pasadena,venture,B,2011-02-14,2011-02, 2011-Q1 ,2011.0,17500000,2010-03-01
4305,Ubiquity Global Services,Consulting,USA,NY,New York City,New York,venture,A,2012-09-01,2012-09, 2012-Q3 ,2012.0,4000000,2012-01-01
4306,Ubiquity Global Services,Consulting,USA,NY,New York City,New York,venture,B,2013-11-13,2013-11, 2013-Q4 ,2013.0,4000000,2012-01-01
4307,Ubix Labs,Cloud Computing,USA,CA,"Orange County, California",San Juan Capistrano,seed/angel,0,2013-01-11,2013-01, 2013-Q1 ,2013.0,500000,2011-01-01
4308,Ubix Labs,Cloud Computing,USA,CA,"Orange County, California",San Juan Capistrano,venture,A,2014-02-12,2014-02, 2014-Q1 ,2014.0,2049999,2011-01-01
4309,Udacity,Education,USA,CA,SF Bay Area,Mountain View,venture,A,2012-01-01,2012-01, 2012-Q1 ,2012.0,5000000,2011-01-01
4310,Udacity,Education,USA,CA,SF Bay Area,Mountain View,venture,B,2012-10-25,2012-10, 2012-Q4 ,2012.0,15000000,2011-01-01
4311,Udacity,Education,USA,CA,SF Bay Area,Mountain View,venture,C,2014-09-24,2014-09, 2014-Q3 ,2014.0,35000000,2011-01-01
