,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2664,/organization/condaptive,Condaptive,|Location Based Services|Mobile|,Location Based Services,USA,VA,"Washington, D.C.",Arlington,/organization/millennial-media,Millennial Media,|App Marketing|Mobile Advertising|Mobile|Advertising|,Advertising,USA,MD,Baltimore,Baltimore,2011-05-01,2011-05,2011-Q2,2011.0,26300000,USD
2670,/organization/conexis,Conexis,|Human Resources|,Human Resources,USA,TX,Dallas,Irving,/organization/wageworks,WageWorks,|Business Services|Consulting|,Business Services,USA,CA,SF Bay Area,San Mateo,2014-08-06,2014-08,2014-Q3,2014.0,118000000,USD
2673,/organization/confio-software,Confio Software,|Software|,Software,USA,CO,Denver,Boulder,/organization/solarwinds,SolarWinds,|Software|,Software,USA,TX,Austin,Austin,2013-10-07,2013-10,2013-Q4,2013.0,103000000,USD
2685,/organization/connect3-systems,Connect3 Systems,|Advertising|,Advertising,USA,CA,Los Angeles,Cerritos,/organization/demandtec,DemandTec,|Software|,Software,USA,CA,SF Bay Area,San Carlos,2009-02-25,2009-02,2009-Q1,2009.0,13450000,USD
2691,/organization/connectone-bank,ConnectOne Bank,|Banking|Finance|,Banking,USA,NJ,Newark,Englewood Cliffs,/organization/center-bancorp,Center Bancorp,|Finance|,Finance,USA,NJ,Atlantic City,Newtonville,2014-01-21,2014-01,2014-Q1,2014.0,243000000,USD
2697,/organization/consolidated-graphics,Consolidated Graphics,|Enterprise Software|,Enterprise Software,USA,TX,Houston,Houston,/organization/rr-donnelley,RR Donnelley,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Chicago,2013-10-24,2013-10,2013-Q4,2013.0,620000000,USD
2709,/organization/contact-at-once,Contact At Once!,|Text Analytics|Chat|Software|,Chat,USA,GA,Atlanta,Alpharetta,/organization/liveperson,LivePerson,|Software|,Software,USA,NY,New York City,New York,2014-11-05,2014-11,2014-Q4,2014.0,65000000,USD
2712,/organization/contemporary-computer-services,Contemporary Computer Services,|Software|,Software,USA,NY,Long Island,Bohemia,/organization/qsgi,QSGI,|Software|,Software,USA,FL,Palm Beaches,Palm Beach Shores,2008-12-23,2008-12,2008-Q4,2008.0,15040000,USD
2718,/organization/context-optional,Context Optional,|Social CRM|Social Media Marketing|,Social CRM,USA,CA,SF Bay Area,San Francisco,/organization/efficient-frontier,Efficient Frontier,|Advertising|,Advertising,USA,CA,SF Bay Area,Sunnyvale,2011-05-04,2011-05,2011-Q2,2011.0,50000000,USD
2721,/organization/continental-american-insurance-company,Continental American Insurance Company,|Banking|Insurance|Finance|,Finance,USA,SC,"Columbia, South Carolina",Columbia,/organization/aflac,Aflac,|Insurance|Investment Management|Finance|,Investment Management,USA,GA,"Columbus, Georgia",Columbus,2009-01-01,2009-01,2009-Q1,2009.0,100000000,USD
