,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
1102,/organization/patch,Patch,|Local|News|,Media,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,6/11/09,2009-06,2009-Q2,2009,7000000,USD
1367,/organization/snip-it,Snip.it,|Media|Collectibles|Information Technology|News|Startups|Content|Curated Web|,Media,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,1/22/13,2013-01,2013-Q1,2013,10000000,USD
1207,/organization/quigo,Quigo,|Media|Advertising|,Media,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,11/7/07,2007-11,2007-Q4,2007,363000000,USD
900,/organization/melodeo,Melodeo,|Music|,Media,USA,WA,Seattle,Seattle,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,6/23/10,2010-06,2010-Q2,2010,30000000,USD
799,/organization/lala,Lala,|Music|,Media,USA,CA,SF Bay Area,Palo Alto,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,12/5/09,2009-12,2009-Q4,2009,80000000,USD
409,/organization/dapper,Dapper,|Music|Web Tools|Advertising|,Media,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,10/5/10,2010-10,2010-Q4,2010,55000000,USD
244,/organization/broadcast-com,Broadcast.com,|Music|,Media,USA,TX,Dallas,Dallas,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,11/1/99,1999-11,1999-Q4,1999,5700000000,USD
802,/organization/launch-media,Launch Media,|Music|,Media,USA,CA,Los Angeles,Santa Monica,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,6/1/01,2001-06,2001-Q2,2001,12000000,USD
1668,/organization/xoopit,Xoopit,|Photo Sharing|Search|Email|Social Network Media|Curated Web|,Media,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,7/23/09,2009-07,2009-Q3,2009,20000000,USD
1364,/organization/snapfish,Snapfish,|Photography|,Media,USA,CA,SF Bay Area,San Francisco,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,4/1/05,2005-04,2005-Q2,2005,300000000,USD
1209,/organization/qwiki,Qwiki,|Photography|,Media,USA,NY,New York City,New York,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,7/2/13,2013-07,2013-Q3,2013,50000000,USD
1352,/organization/slide,Slide,|Software|Social Network Media|Photography|Web Tools|Public Relations|,Media,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,8/6/10,2010-08,2010-Q3,2010,182000000,USD
1474,/organization/huffingtonpost,The Huffington Post,|Publishing|Media|News|,Media,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2/7/11,2011-02,2011-Q1,2011,315000000,USD
950,/organization/moviefone,MovieFone,|Media|Ticketing|Services|Entertainment|Games|,Media,USA,IL,Chicago,Chicago,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,5/1/99,1999-05,1999-Q2,1999,525000000,USD
1091,/organization/palm,Palm,|Mobile|,Mobile,USA,CA,SF Bay Area,Sunnyvale,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,7/1/10,2010-07,2010-Q3,2010,1200000000,USD
1494,/organization/tomfoolery,Tomfoolery,|Mobile|,Mobile,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,1/28/14,2014-01,2014-Q1,2014,16000000,USD
251,/organization/bump-technologies,Bump Technologies,|Mobile|,Mobile,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,12/31/13,2013-12,2013-Q4,2013,30000000,USD
545,/organization/flurry,Flurry,|Mobile|Advertising|,Mobile,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,7/21/14,2014-07,2014-Q3,2014,200000000,USD
947,/organization/motorola-mobility,Motorola Mobility,|Mobile|,Mobile,USA,IL,Chicago,Libertyville,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,5/22/12,2012-05,2012-Q2,2012,12500000000,USD
609,/organization/grandcentral,GrandCentral,|VoIP|Telephony|Mobile|,Mobile,USA,CA,SF Bay Area,Fremont,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,7/1/07,2007-07,2007-Q3,2007,60000000,USD
1056,/organization/onavo,Onavo,|Mobile|,Mobile,USA,CA,SF Bay Area,Palo Alto,/organization/facebook,Facebook,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,Social Media,USA,CA,SF Bay Area,Menlo Park,10/14/13,2013-10,2013-Q4,2013,150000000,USD
